year,month,day,inflow_MG,outflow_MG,rof_temp_F,rof_EC,rof_pH,rof_turbidity,rof_TOC,rop_EC,rop_pH,rop_turbidity,rop_CO2,rop_TOC,ammonia,energy_kwh,date,month_num
2020,Jan,1,113.453,96.688,75.117,1653.91,6.9,0.105,7.407,28.873,5.493,0.057,63.544,0.039,,,2020-01-01,1.0
2020,Jan,2,112.984,96.094,75.036,1631.859,6.9,0.114,7.683,29.362,5.506,0.058,61.447,0.037,,,2020-01-02,1.0
2020,Jan,3,113.594,96.656,75.497,1707.416,6.9,0.09,7.842,30.181,5.434,0.056,72.693,0.043,,,2020-01-03,1.0
2020,Jan,4,114.141,97.125,75.286,1690.993,6.9,0.077,7.778,30.06,5.41,0.053,76.606,0.042,,,2020-01-04,1.0
2020,Jan,5,113.375,96.406,75.328,1653.706,6.9,0.081,7.973,28.544,5.404,0.055,77.625,0.04,,,2020-01-05,1.0
2020,Jan,6,111.547,94.969,75.538,1641.683,6.9,0.071,7.697,28.361,5.404,0.058,77.935,0.038,,,2020-01-06,1.0
2020,Jan,7,111.625,95.0,75.604,1738.214,6.9,0.072,7.876,30.247,5.398,0.058,78.676,0.045,,,2020-01-07,1.0
2020,Jan,8,112.641,95.813,75.326,1780.807,6.9,0.076,7.83,30.787,5.401,0.057,78.292,0.047,,,2020-01-08,1.0
2020,Jan,9,113.828,96.938,75.374,1787.676,6.9,0.074,7.674,30.585,5.405,0.056,77.688,0.042,,,2020-01-09,1.0
2020,Jan,10,117.625,99.969,75.168,1794.557,6.9,0.074,7.598,30.561,5.425,0.056,74.111,0.042,,,2020-01-10,1.0
2020,Jan,11,114.844,97.563,74.817,1756.299,6.9,0.08,7.616,29.707,5.452,0.054,69.427,0.04,,,2020-01-11,1.0
2020,Jan,12,114.031,96.844,74.868,1694.577,6.9,0.079,7.457,27.938,5.445,0.052,70.732,0.036,,,2020-01-12,1.0
2020,Jan,13,111.594,94.906,74.865,1675.442,6.9,0.082,7.588,28.243,5.453,0.056,69.523,0.036,,,2020-01-13,1.0
2020,Jan,14,111.75,95.063,74.83,1742.408,6.9,0.079,8.033,27.921,5.439,0.057,71.86,0.042,,,2020-01-14,1.0
2020,Jan,15,111.563,94.875,74.964,1752.739,6.9,0.076,7.879,28.917,5.439,0.055,71.539,0.042,,,2020-01-15,1.0
2020,Jan,16,114.219,97.156,74.941,1757.15,6.9,0.077,7.987,32.587,5.455,0.057,69.082,0.044,,,2020-01-16,1.0
2020,Jan,17,114.203,97.094,74.934,1778.907,6.9,0.077,8.124,30.861,5.447,0.06,70.301,0.044,,,2020-01-17,1.0
2020,Jan,18,112.469,95.781,74.929,1752.079,6.9,0.077,8.205,31.379,5.45,0.059,69.724,0.042,,,2020-01-18,1.0
2020,Jan,19,111.563,95.031,75.119,1680.183,6.9,0.08,7.925,29.722,5.446,0.057,70.251,0.038,,,2020-01-19,1.0
2020,Jan,20,111.453,94.938,75.105,1690.99,6.9,0.081,7.946,30.282,5.452,0.056,69.285,0.038,,,2020-01-20,1.0
2020,Jan,21,111.594,94.938,75.141,1728.122,6.9,0.076,8.293,29.831,5.446,0.055,70.379,0.044,,,2020-01-21,1.0
2020,Jan,22,110.344,93.813,75.212,1796.611,6.9,0.073,7.955,31.573,5.436,0.055,72.279,0.049,,,2020-01-22,1.0
2020,Jan,23,115.422,98.156,75.458,1780.544,6.9,0.075,7.935,32.346,5.445,0.054,70.832,0.044,,,2020-01-23,1.0
2020,Jan,24,113.406,96.406,75.444,1790.444,6.9,0.079,7.917,32.237,5.441,0.05,71.275,0.045,,,2020-01-24,1.0
2020,Jan,25,112.953,96.094,75.428,1760.126,6.9,0.08,8.009,31.759,5.442,0.042,71.156,0.047,,,2020-01-25,1.0
2020,Jan,26,112.875,95.906,74.932,1678.66,6.9,0.084,7.81,30.31,5.452,0.053,69.609,0.039,,,2020-01-26,1.0
2020,Jan,27,111.734,95.031,75.197,1610.578,6.9,0.086,7.896,29.132,5.456,0.042,69.006,0.035,,,2020-01-27,1.0
2020,Jan,28,111.656,94.875,75.497,1704.441,6.9,0.076,8.183,30.319,5.44,0.052,71.353,0.048,,,2020-01-28,1.0
2020,Jan,29,112.484,95.625,75.535,1747.727,6.9,0.079,8.067,31.637,5.436,0.057,72.125,0.045,,,2020-01-29,1.0
2020,Jan,30,112.672,95.781,75.366,1788.466,6.9,0.08,8.231,32.742,5.435,0.062,72.159,0.05,,,2020-01-30,1.0
2020,Jan,31,114.25,97.063,75.755,1799.975,6.9,0.079,7.905,34.22,5.412,0.061,76.016,0.047,,,2020-01-31,1.0
2020,Feb,1,114.094,97.094,76.0,1767.749,6.9,0.086,8.115,34.372,5.402,0.059,78.203,0.047,,,2020-02-01,2.0
2020,FEb,2,113.797,96.875,75.555,1683.231,6.9,0.093,7.934,32.925,5.411,0.052,76.201,0.042,,,2020-02-02,2.0
2020,Feb,3,111.641,95.0,74.67,1609.003,6.9,0.083,7.802,30.988,5.413,0.055,75.906,0.04,,,2020-02-03,2.0
2020,Feb,4,19.734,16.594,70.67,1679.767,6.886,0.109,8.555,57.706,6.047,0.054,28.075,0.046,,,2020-02-04,2.0
2020,Feb,5,33.984,28.844,70.81,1726.763,6.857,0.076,8.739,52.052,5.914,0.058,42.274,0.04,,,2020-02-05,2.0
2020,Feb,6,115.172,97.906,74.634,1773.508,6.9,0.085,8.139,33.99,5.387,0.06,80.9,0.041,,,2020-02-06,2.0
2020,Feb,7,117.578,100.0,75.064,1777.909,6.9,0.086,8.116,31.896,5.469,0.057,67.773,0.043,,,2020-02-07,2.0
2020,Feb,8,113.156,96.281,75.024,1716.132,6.9,0.095,8.22,30.936,5.53,0.056,58.066,0.042,,,2020-02-08,2.0
2020,Feb,9,111.922,95.094,74.436,1625.032,6.9,0.088,7.982,29.607,5.535,0.055,57.447,0.037,,,2020-02-09,2.0
2020,Feb,10,111.859,94.844,74.61,1553.813,6.9,0.07,8.108,28.585,5.535,0.055,57.26,0.037,,,2020-02-10,2.0
2020,Feb,11,111.656,94.969,75.072,1670.517,6.9,0.083,8.566,31.301,5.534,0.053,57.564,0.045,,,2020-02-11,2.0
2020,Feb,12,112.469,95.656,75.17,1746.116,6.9,0.088,8.521,32.568,5.527,0.054,58.531,0.044,,,2020-02-12,2.0
2020,Feb,13,115.797,98.531,75.234,1702.396,6.9,0.091,8.381,31.677,5.539,0.056,56.843,0.044,,,2020-02-13,2.0
2020,Feb,14,114.016,97.0,75.146,1702.662,6.9,0.093,8.402,30.996,5.512,0.049,60.534,0.041,,,2020-02-14,2.0
2020,Feb,15,114.625,97.375,75.181,1705.048,6.9,0.1,8.431,31.476,5.49,0.049,63.877,0.041,,,2020-02-15,2.0
2020,Feb,16,113.109,96.156,75.253,1633.938,6.9,0.102,8.353,30.208,5.5,0.042,62.253,0.038,,,2020-02-16,2.0
2020,Feb,17,111.813,94.969,75.227,1602.404,6.9,0.098,8.307,29.085,5.498,0.047,62.428,0.037,,,2020-02-17,2.0
2020,Feb,18,111.734,94.906,75.568,1686.219,6.9,0.098,9.053,29.635,5.484,0.038,64.447,0.049,,,2020-02-18,2.0
2020,Feb,19,110.438,93.938,75.845,1723.157,6.9,0.089,8.524,31.121,5.488,0.035,63.955,0.044,,,2020-02-19,2.0
2020,Feb,20,111.531,94.906,76.088,1701.922,6.9,0.089,8.56,30.91,5.489,0.034,63.973,0.045,,,2020-02-20,2.0
2020,Feb,21,112.906,95.938,75.989,1719.691,6.9,0.09,8.586,31.878,5.489,0.052,63.997,0.045,,,2020-02-21,2.0
2020,Feb,22,113.406,96.531,75.817,1693.477,6.9,0.086,8.316,31.174,5.48,0.061,65.088,0.043,,,2020-02-22,2.0
2020,Feb,23,111.672,94.938,75.558,1606.05,6.9,0.08,8.087,30.011,5.483,0.062,64.812,0.038,,,2020-02-23,2.0
2020,Feb,24,111.656,94.969,75.721,1570.332,6.9,0.085,8.142,29.381,5.478,0.059,65.405,0.038,,,2020-02-24,2.0
2020,Feb,25,109.313,92.813,76.009,1664.401,6.9,0.09,8.423,31.48,5.492,0.061,63.267,0.045,,,2020-02-25,2.0
2020,Feb,26,107.453,91.406,76.462,1740.167,6.9,0.123,8.694,31.94,5.486,0.061,64.314,0.047,,,2020-02-26,2.0
2020,Feb,27,106.719,90.625,76.487,1744.11,6.9,0.093,8.428,32.024,5.491,0.06,63.586,0.045,,,2020-02-27,2.0
2020,Feb,28,109.188,92.813,76.917,1764.966,6.9,0.115,8.195,32.973,5.489,0.063,63.82,0.046,,,2020-02-28,2.0
2020,Mar,1,109.594,93.168,75.542,1714.051,6.9,0.14,8.252,31.065,5.479,0.061,65.355,0.04,,,2020-03-01,3.0
2020,Mar,2,108.266,92.125,75.536,1653.656,6.9,0.118,8.183,28.861,5.488,0.06,64.026,0.04,,,2020-03-02,3.0
2020,Mar,3,109.938,93.406,76.006,1756.874,6.901,0.128,8.424,30.655,5.485,0.056,64.46,0.043,,,2020-03-03,3.0
2020,Mar,4,108.688,92.438,76.386,1777.28,6.9,0.137,8.474,32.422,5.487,0.056,64.153,0.045,,,2020-03-04,3.0
2020,Mar,5,101.125,86.063,76.604,1804.612,6.9,0.142,8.563,33.55,5.491,0.057,63.617,0.044,,,2020-03-05,3.0
2020,Mar,6,108.266,91.938,76.583,1844.31,6.9,0.113,8.87,32.948,5.469,0.053,66.871,0.043,,,2020-03-06,3.0
2020,Mar,7,109.219,92.969,76.345,1813.151,6.9,0.098,8.844,32.965,5.488,0.056,64.006,0.043,,,2020-03-07,3.0
2020,Mar,8,103.109,87.719,76.268,1706.617,6.9,0.089,8.76,30.208,5.489,0.07,63.898,0.046,,,2020-03-08,3.0
2020,Mar,9,109.109,92.781,76.223,1628.531,6.9,0.082,9.043,27.862,5.492,0.068,63.429,0.044,,,2020-03-09,3.0
2020,Mar,10,103.828,88.125,76.294,1747.211,6.901,0.081,8.851,31.942,5.505,0.061,61.37,0.048,,,2020-03-10,3.0
2020,Mar,11,111.609,94.906,76.864,1825.611,6.9,0.074,8.946,33.047,5.503,0.063,62.106,0.047,,,2020-03-11,3.0
2020,Mar,12,112.234,95.438,76.388,1771.392,6.899,0.073,8.665,31.587,5.493,0.06,63.345,0.044,,,2020-03-12,3.0
2020,Mar,13,112.734,95.938,75.171,1644.881,6.9,0.091,8.023,30.183,5.552,0.057,56.027,0.04,,,2020-03-13,3.0
2020,Mar,14,110.063,93.625,75.351,1683.952,6.9,0.101,8.107,33.632,5.596,0.055,49.981,0.039,,,2020-03-14,3.0
2020,Mar,15,107.922,91.719,75.774,1635.061,6.9,0.096,7.954,32.313,5.587,0.054,51.076,0.038,,,2020-03-15,3.0
2020,Mar,16,107.297,91.219,75.492,1641.167,6.9,0.101,8.039,32.292,5.587,0.055,51.014,0.037,,,2020-03-16,3.0
2020,Mar,17,108.594,92.375,74.982,1779.224,6.9,0.105,8.266,35.692,5.593,0.059,50.312,0.042,,,2020-03-17,3.0
2020,Mar,18,109.656,93.25,74.947,1850.27,6.9,0.112,8.476,34.442,5.577,0.058,52.261,0.043,,,2020-03-18,3.0
